Country,city_name,stat_date(周),Daily Orders
MX,Manzanillo,2024-11-18 / 2024-11-24,589
MX,Guadalajara,2024-11-18 / 2024-11-24,13425
MX,Tepic,2024-11-18 / 2024-11-24,1745
MX,Ciudad Obregon,2024-11-18 / 2024-11-24,1194
MX,Culiacan,2024-11-18 / 2024-11-24,2123
MX,San Miguel de Allende,2024-11-18 / 2024-11-24,0
MX,Valles City,2024-11-18 / 2024-11-24,-
MX,Guanajuato,2024-11-18 / 2024-11-24,-
MX,Piedras Negras,2024-11-18 / 2024-11-24,-
MX,Monclova,2024-11-18 / 2024-11-24,0
MX,Reynosa,2024-11-18 / 2024-11-24,0
MX,Salamanca,2024-11-18 / 2024-11-24,205
MX,Aguascalientes,2024-11-18 / 2024-11-24,1761
MX,Leon,2024-11-18 / 2024-11-24,1971
MX,Victoria,2024-11-18 / 2024-11-24,754
MX,Zacatecas,2024-11-18 / 2024-11-24,656
MX,Irapuato,2024-11-18 / 2024-11-24,627
MX,Matamoros,2024-11-18 / 2024-11-24,1491
MX,Chihuahua,2024-11-18 / 2024-11-24,1760
MX,Durango,2024-11-18 / 2024-11-24,2776
MX,Saltillo,2024-11-18 / 2024-11-24,1030
MX,Tampico,2024-11-18 / 2024-11-24,1522
MX,Delicias,2024-11-18 / 2024-11-24,460
MX,Torreon,2024-11-18 / 2024-11-24,1949
MX,Jaurez CHIH,2024-11-18 / 2024-11-24,4141
MX,Queretaro,2024-11-18 / 2024-11-24,2291
MX,San Luis Potosi,2024-11-18 / 2024-11-24,2203
MX,Celaya,2024-11-18 / 2024-11-24,792
MX,Nuevo Laredo,2024-11-18 / 2024-11-24,646
MX,San Juan del Río,2024-11-18 / 2024-11-24,477
MX,Monterrey,2024-11-18 / 2024-11-24,10866
MX,Mexico City,2024-11-18 / 2024-11-24,23728
MX,Toluca,2024-11-18 / 2024-11-24,2106
CO,Santa marta,2024-11-18 / 2024-11-24,0
CO,Valledupar,2024-11-18 / 2024-11-24,0
CO,Ibagué,2024-11-18 / 2024-11-24,0
CO,Cartagena,2024-11-18 / 2024-11-24,204
CO,Pereira,2024-11-18 / 2024-11-24,0
CO,Villavicencio,2024-11-18 / 2024-11-24,0
CO,Manizales,2024-11-18 / 2024-11-24,0
CO,Cúcuta,2024-11-18 / 2024-11-24,160
CO,Barranquilla,2024-11-18 / 2024-11-24,2280
CO,Cali,2024-11-18 / 2024-11-24,3574
CO,Bucaramanga,2024-11-18 / 2024-11-24,642
CO,Medellín,2024-11-18 / 2024-11-24,7525
CO,"Bogotá, D.C.",2024-11-18 / 2024-11-24,7624
CR,Limon,2024-11-18 / 2024-11-24,-
CR,Liberia,2024-11-18 / 2024-11-24,-
