Country Code,city_name,Stat Date(周),5 + order store count(week total)
MX,Oaxaca,2024-08-26 / 2024-09-01,53.0
MX,Victoria,2024-08-26 / 2024-09-01,10.0
MX,Morelia,2024-08-26 / 2024-09-01,47.0
MX,Solidaridad,2024-08-26 / 2024-09-01,3.0
MX,Mexicali,2024-08-26 / 2024-09-01,143.0
MX,Durango,2024-08-26 / 2024-09-01,82.0
MX,Colima,2024-08-26 / 2024-09-01,4.0
MX,Tepic,2024-08-26 / 2024-09-01,32.0
MX,Jaurez CHIH,2024-08-26 / 2024-09-01,155.0
MX,Xalapa,2024-08-26 / 2024-09-01,1.0
MX,Carmen,2024-08-26 / 2024-09-01,1.0
MX,San Luis Potosi,2024-08-26 / 2024-09-01,34.0
MX,Ensenada,2024-08-26 / 2024-09-01,34.0
MX,Cuernavaca,2024-08-26 / 2024-09-01,58.0
MX,Leon,2024-08-26 / 2024-09-01,38.0
MX,Guadalajara,2024-08-26 / 2024-09-01,403.0
MX,Tapachula,2024-08-26 / 2024-09-01,1.0
MX,Chihuahua,2024-08-26 / 2024-09-01,151.0
MX,Torreon,2024-08-26 / 2024-09-01,52.0
MX,Nuevo Laredo,2024-08-26 / 2024-09-01,5.0
MX,Acapulco,2024-08-26 / 2024-09-01,2.0
MX,San Juan del Río,2024-08-26 / 2024-09-01,9.0
MX,Salamanca,2024-08-26 / 2024-09-01,2.0
MX,San Cristobal de las Casas,2024-08-26 / 2024-09-01,2.0
MX,Monterrey,2024-08-26 / 2024-09-01,363.0
MX,Ciudad Obregon,2024-08-26 / 2024-09-01,37.0
MX,Culiacan,2024-08-26 / 2024-09-01,123.0
MX,Mazatlan,2024-08-26 / 2024-09-01,27.0
MX,Matamoros,2024-08-26 / 2024-09-01,24.0
MX,Tampico,2024-08-26 / 2024-09-01,35.0
MX,Celaya,2024-08-26 / 2024-09-01,14.0
MX,Zacatecas,2024-08-26 / 2024-09-01,11.0
MX,Tehuacan,2024-08-26 / 2024-09-01,2.0
MX,Cordoba,2024-08-26 / 2024-09-01,9.0
MX,Puerto Vallarta,2024-08-26 / 2024-09-01,4.0
MX,La Paz,2024-08-26 / 2024-09-01,11.0
MX,Queretaro,2024-08-26 / 2024-09-01,71.0
MX,Aguascalientes,2024-08-26 / 2024-09-01,31.0
MX,Los Mochis-Guasave,2024-08-26 / 2024-09-01,20.0
MX,Toluca,2024-08-26 / 2024-09-01,53.0
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,11.0
MX,Hermosillo,2024-08-26 / 2024-09-01,67.0
MX,Los Cabos,2024-08-26 / 2024-09-01,12.0
MX,Manzanillo,2024-08-26 / 2024-09-01,7.0
MX,Merida,2024-08-26 / 2024-09-01,34.0
MX,Navojoa,2024-08-26 / 2024-09-01,3.0
MX,Tijuana,2024-08-26 / 2024-09-01,118.0
MX,Puebla,2024-08-26 / 2024-09-01,112.0
MX,Pachuca,2024-08-26 / 2024-09-01,12.0
MX,Tlaxcala,2024-08-26 / 2024-09-01,4.0
MX,Delicias,2024-08-26 / 2024-09-01,2.0
MX,Irapuato,2024-08-26 / 2024-09-01,8.0
MX,Saltillo,2024-08-26 / 2024-09-01,46.0
MX,Villahermosa,2024-08-26 / 2024-09-01,61.0
MX,Coatzacoalcos,2024-08-26 / 2024-09-01,2.0
MX,Cancun,2024-08-26 / 2024-09-01,58.0
MX,Mexico City,2024-08-26 / 2024-09-01,646.0
CO,Cali,2024-08-26 / 2024-09-01,71.0
CO,Cartagena,2024-08-26 / 2024-09-01,5.0
CO,Medellín,2024-08-26 / 2024-09-01,247.0
CO,Barranquilla,2024-08-26 / 2024-09-01,52.0
CO,Bucaramanga,2024-08-26 / 2024-09-01,16.0
CO,"Bogotá, D.C.",2024-08-26 / 2024-09-01,393.0
CR,San Jose,2024-08-26 / 2024-09-01,96.0
PE,Lima,2024-08-26 / 2024-09-01,72.0
