Country,city_name,stat_date(周),Traffic,Shop Enter UV,B P1,B P2,B P1*P2,B Cancel Rate,B Bad Rating Rate
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,23960,1103,4.60%,14.60%,0.67%,0.00%,1.28%
MX,Comitan de Dominguez,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
MX,Veracruz,2024-09-02 / 2024-09-08,246894,16258,6.59%,19.46%,1.28%,1.38%,1.39%
MX,Merida,2024-09-02 / 2024-09-08,500246,34570,6.91%,14.96%,1.03%,1.11%,1.69%
MX,Puebla,2024-09-02 / 2024-09-08,1268528,83018,6.54%,18.17%,1.19%,1.01%,1.58%
MX,Los Cabos,2024-09-02 / 2024-09-08,86960,6217,7.15%,20.91%,1.49%,0.94%,2.17%
MX,Manzanillo,2024-09-02 / 2024-09-08,40039,3363,8.40%,27.21%,2.29%,0.67%,0.95%
MX,Colima,2024-09-02 / 2024-09-08,94600,6040,6.38%,12.42%,0.79%,0.95%,1.13%
MX,La Paz,2024-09-02 / 2024-09-08,76783,5031,6.55%,18.84%,1.23%,0.97%,1.43%
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,47127,3498,7.42%,22.04%,1.64%,1.32%,1.57%
MX,Nogales(SON),2024-09-02 / 2024-09-08,7,0,0.00%,-,0.00%,-,-
MX,Ensenada,2024-09-02 / 2024-09-08,293461,19156,6.53%,24.28%,1.58%,0.61%,1.06%
MX,Navojoa,2024-09-02 / 2024-09-08,19929,1399,7.02%,14.15%,0.99%,2.60%,1.65%
MX,Guaymas,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,301259,22032,7.31%,18.93%,1.38%,0.62%,1.37%
MX,Tepic,2024-09-02 / 2024-09-08,272039,19540,7.18%,21.70%,1.56%,0.43%,0.71%
MX,Mazatlan,2024-09-02 / 2024-09-08,293220,19709,6.72%,19.35%,1.30%,0.99%,1.27%
MX,Culiacan,2024-09-02 / 2024-09-08,1153476,79514,6.89%,19.88%,1.37%,0.63%,1.27%
MX,Tijuana,2024-09-02 / 2024-09-08,1210526,75285,6.22%,19.85%,1.23%,1.19%,1.80%
MX,Mexicali,2024-09-02 / 2024-09-08,1513027,115361,7.62%,22.93%,1.75%,0.59%,1.14%
MX,Hermosillo,2024-09-02 / 2024-09-08,631875,44000,6.96%,20.04%,1.40%,1.05%,1.59%
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,238414,15502,6.50%,17.18%,1.12%,0.34%,0.82%
MX,Guadalajara,2024-09-02 / 2024-09-08,3720373,242909,6.53%,22.60%,1.48%,0.82%,1.60%
MX,Delicias,2024-09-02 / 2024-09-08,23371,1230,5.26%,21.06%,1.11%,0.78%,0.79%
MX,San Miguel de Allende,2024-09-02 / 2024-09-08,11,0,0.00%,-,0.00%,-,-
MX,Irapuato,2024-09-02 / 2024-09-08,80175,5362,6.69%,20.35%,1.36%,1.69%,1.66%
MX,Valles City,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-
MX,Salamanca,2024-09-02 / 2024-09-08,23383,1491,6.38%,14.29%,0.91%,1.93%,1.52%
MX,Celaya,2024-09-02 / 2024-09-08,140567,9568,6.81%,18.01%,1.23%,0.83%,1.78%
MX,Matamoros,2024-09-02 / 2024-09-08,225961,13945,6.17%,16.88%,1.04%,0.87%,0.86%
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,59970,3207,5.35%,14.78%,0.79%,1.54%,2.05%
MX,Piedras Negras,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-
MX,Reynosa,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
MX,Torreon,2024-09-02 / 2024-09-08,455692,29058,6.38%,20.29%,1.29%,1.29%,1.09%
MX,Monclova,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
MX,Chihuahua,2024-09-02 / 2024-09-08,1151192,86542,7.52%,22.11%,1.66%,0.92%,1.08%
MX,Durango,2024-09-02 / 2024-09-08,694525,47105,6.78%,20.74%,1.41%,1.06%,1.57%
MX,San Juan del Río,2024-09-02 / 2024-09-08,51771,4596,8.88%,17.19%,1.53%,0.39%,2.29%
MX,Victoria,2024-09-02 / 2024-09-08,125790,8310,6.61%,15.94%,1.05%,1.25%,1.07%
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,1502718,108013,7.19%,21.80%,1.57%,0.89%,1.21%
MX,Saltillo,2024-09-02 / 2024-09-08,499581,28844,5.77%,16.16%,0.93%,1.91%,2.09%
MX,Monterrey,2024-09-02 / 2024-09-08,3818302,265937,6.96%,17.54%,1.22%,1.25%,1.27%
MX,Aguascalientes,2024-09-02 / 2024-09-08,332655,22354,6.72%,17.87%,1.20%,1.00%,1.12%
MX,Zacatecas,2024-09-02 / 2024-09-08,88082,6326,7.18%,20.82%,1.50%,0.77%,1.96%
MX,Tampico,2024-09-02 / 2024-09-08,457244,31703,6.93%,17.58%,1.22%,0.70%,0.77%
MX,Leon,2024-09-02 / 2024-09-08,405815,29119,7.18%,19.41%,1.39%,0.81%,1.53%
