Country,city_name,stat_date(周),Daily GMV,GMV,R Burn,R Burn / GMV,R Burn / Order,B2C Total Burn,B2C / GMV,B2C / Order,B2C Acq Burn,B2C Eng Burn,B Burn,P2C Burn,P2C / GMV,P2C / Order,TED,TED / GMV,TED / Order
MX,Los Mochis-Guasave,2024-09-09 / 2024-09-15,85346,597422.9,79218,13.26%,38.36,31949,5.35%,15.47,1161,30789,0,24428,4.09%,11.83,135596,22.70%,65.66
MX,Hermosillo,2024-09-09 / 2024-09-15,315979,2211856.1,394460,17.83%,48.11,88592,4.01%,10.81,2227,86365,0,36169,1.64%,4.41,519221,23.47%,63.33
MX,Guadalajara,2024-09-09 / 2024-09-15,1990460,13933220.5,2285146,16.40%,42.30,455373,3.27%,8.43,10718,444655,493,551173,3.96%,10.20,3291692,23.62%,60.94
MX,Delicias,2024-09-09 / 2024-09-15,11426,79982.2,9354,11.69%,35.16,3307,4.13%,12.43,104,3203,0,2494,3.12%,9.38,15155,18.95%,56.97
MX,San Miguel de Allende,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Valles City,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Irapuato,2024-09-09 / 2024-09-15,36705,256932.8,39707,15.45%,43.11,8590,3.39%,9.33,202,8389,127,6435,2.50%,6.99,54732,21.30%,59.43
MX,Salamanca,2024-09-09 / 2024-09-15,9886,69200.0,5706,8.25%,25.94,2198,3.18%,9.99,58,2140,0,1241,1.79%,5.64,9145,13.22%,41.57
MX,Celaya,2024-09-09 / 2024-09-15,62893,440248.1,89723,20.38%,61.04,11401,2.59%,7.76,698,10703,0,10559,2.40%,7.18,111683,25.37%,75.98
MX,Matamoros,2024-09-09 / 2024-09-15,77120,539842.5,37607,6.97%,19.19,12262,2.27%,6.26,869,11392,0,14491,2.68%,7.39,64359,11.92%,32.84
MX,Nuevo Laredo,2024-09-09 / 2024-09-15,21472,150304.7,23778,15.82%,57.57,3804,2.53%,9.21,164,3640,0,5007,3.33%,12.12,32589,21.68%,78.91
MX,Piedras Negras,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Reynosa,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Torreon,2024-09-09 / 2024-09-15,198776,1391430.5,222626,16.00%,39.57,52132,3.92%,9.27,2933,49199,2400,65027,4.67%,11.56,339785,24.42%,60.40
MX,Monclova,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Durango,2024-09-09 / 2024-09-15,383956,2687689.8,501354,18.65%,52.00,70918,2.64%,7.36,1520,69398,0,51973,1.93%,5.39,624245,23.23%,64.75
