Country,city_name,stat_date(周),Daily Orders,Daily Orders WoW
MX,Monterrey,2024-09-02 / 2024-09-08,6234,-5.63%
MX,Aguascalientes,2024-09-02 / 2024-09-08,533,3.32%
MX,Zacatecas,2024-09-02 / 2024-09-08,175,8.91%
MX,Tampico,2024-09-02 / 2024-09-08,757,0.13%
MX,Leon,2024-09-02 / 2024-09-08,774,8.13%
MX,San Luis Potosi,2024-09-02 / 2024-09-08,591,-5.44%
MX,Queretaro,2024-09-02 / 2024-09-08,1259,3.45%
MX,Mexico City,2024-09-02 / 2024-09-08,11925,2.09%
MX,Toluca,2024-09-02 / 2024-09-08,936,-1.87%
CO,Valledupar,2024-09-02 / 2024-09-08,0,-
CO,Santa marta,2024-09-02 / 2024-09-08,-,-
CO,Villavicencio,2024-09-02 / 2024-09-08,0,-
CO,Cúcuta,2024-09-02 / 2024-09-08,4,27.27%
CO,Barranquilla,2024-09-02 / 2024-09-08,857,-0.63%
CO,Manizales,2024-09-02 / 2024-09-08,0,-
CO,Cartagena,2024-09-02 / 2024-09-08,91,-9.09%
CO,Ibagué,2024-09-02 / 2024-09-08,0,-
CO,Bucaramanga,2024-09-02 / 2024-09-08,376,9.48%
CO,Medellín,2024-09-02 / 2024-09-08,4945,3.94%
CO,Cali,2024-09-02 / 2024-09-08,1345,5.09%
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,7454,3.87%
CO,Pereira,2024-09-02 / 2024-09-08,0,-
CR,Liberia,2024-09-02 / 2024-09-08,-,-
CR,Limon,2024-09-02 / 2024-09-08,-,-
CR,San Jose,2024-09-02 / 2024-09-08,1830,-11.64%
PE,Arequipa,2024-09-02 / 2024-09-08,-,-
PE,Trujillo,2024-09-02 / 2024-09-08,-,-
PE,Lima,2024-09-02 / 2024-09-08,1488,-2.60%
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,22,-12.43%
MX,Las Choapas,2024-08-26 / 2024-09-01,6,-16.00%
MX,Acapulco,2024-08-26 / 2024-09-01,41,-7.67%
MX,Chilpancingo de los Bravo,2024-08-26 / 2024-09-01,-,-
MX,Tehuacan,2024-08-26 / 2024-09-01,40,3.33%
MX,Uruapan,2024-08-26 / 2024-09-01,0,-
MX,Coatzacoalcos,2024-08-26 / 2024-09-01,35,-18.42%
MX,Zamora,2024-08-26 / 2024-09-01,-,-
MX,Solidaridad,2024-08-26 / 2024-09-01,56,4.26%
MX,Villahermosa,2024-08-26 / 2024-09-01,1445,1.27%
MX,Chetumal,2024-08-26 / 2024-09-01,7,52.94%
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,212,-5.41%
MX,Carmen,2024-08-26 / 2024-09-01,9,12.07%
MX,Cancun,2024-08-26 / 2024-09-01,1203,-3.47%
MX,Tapachula,2024-08-26 / 2024-09-01,23,-10.17%
MX,Oaxaca,2024-08-26 / 2024-09-01,892,-2.95%
MX,Cuernavaca,2024-08-26 / 2024-09-01,949,-1.44%
MX,Tlaxcala,2024-08-26 / 2024-09-01,58,2.28%
MX,Campeche,2024-08-26 / 2024-09-01,28,11.80%
MX,Morelia,2024-08-26 / 2024-09-01,907,-0.05%
MX,Pachuca,2024-08-26 / 2024-09-01,206,-7.38%
MX,Xalapa,2024-08-26 / 2024-09-01,58,16.05%
MX,Comitan de Dominguez,2024-08-26 / 2024-09-01,0,-
MX,San Cristobal de las Casas,2024-08-26 / 2024-09-01,21,-4.49%
MX,Cordoba,2024-08-26 / 2024-09-01,92,7.55%
MX,Veracruz,2024-08-26 / 2024-09-01,420,-2.75%
MX,Merida,2024-08-26 / 2024-09-01,671,-4.71%
MX,Puebla,2024-08-26 / 2024-09-01,2017,-0.67%
MX,Los Cabos,2024-08-26 / 2024-09-01,175,-1.84%
MX,Colima,2024-08-26 / 2024-09-01,111,-5.36%
MX,Manzanillo,2024-08-26 / 2024-09-01,116,-7.28%
MX,La Paz,2024-08-26 / 2024-09-01,140,8.26%
MX,Puerto Vallarta,2024-08-26 / 2024-09-01,113,-10.09%
MX,Nogales(SON),2024-08-26 / 2024-09-01,0,-
