Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Morelia,CKA,2024-11-25 / 2024-12-01,46.0
MX,Coatzacoalcos,CKA,2024-11-25 / 2024-12-01,5.0
MX,Leon,CKA,2024-11-25 / 2024-12-01,39.0
MX,Veracruz,CKA,2024-11-25 / 2024-12-01,22.0
MX,Tehuacan,CKA,2024-11-25 / 2024-12-01,3.0
MX,Tampico,CKA,2024-11-25 / 2024-12-01,37.0
MX,Cancun,CKA,2024-11-25 / 2024-12-01,59.0
MX,Ciudad Obregon,CKA,2024-11-25 / 2024-12-01,37.0
MX,Colima,CKA,2024-11-25 / 2024-12-01,12.0
MX,La Paz,CKA,2024-11-25 / 2024-12-01,10.0
MX,Aguascalientes,CKA,2024-11-25 / 2024-12-01,31.0
MX,Tepic,CKA,2024-11-25 / 2024-12-01,34.0
MX,Monterrey,CKA,2024-11-25 / 2024-12-01,401.0
MX,Guadalajara,CKA,2024-11-25 / 2024-12-01,481.0
MX,Toluca,CKA,2024-11-25 / 2024-12-01,58.0
MX,Las Choapas,CKA,2024-11-25 / 2024-12-01,1.0
MX,Pachuca,CKA,2024-11-25 / 2024-12-01,16.0
MX,Salamanca,CKA,2024-11-25 / 2024-12-01,1.0
MX,Oaxaca,CKA,2024-11-25 / 2024-12-01,50.0
MX,Puerto Vallarta,CKA,2024-11-25 / 2024-12-01,6.0
MX,Mexico City,CKA,2024-11-25 / 2024-12-01,760.0
MX,Queretaro,CKA,2024-11-25 / 2024-12-01,80.0
MX,Jaurez CHIH,CKA,2024-11-25 / 2024-12-01,163.0
MX,Celaya,CKA,2024-11-25 / 2024-12-01,11.0
MX,Mexicali,CKA,2024-11-25 / 2024-12-01,151.0
MX,Puebla,CKA,2024-11-25 / 2024-12-01,140.0
MX,Los Cabos,CKA,2024-11-25 / 2024-12-01,11.0
MX,Navojoa,CKA,2024-11-25 / 2024-12-01,3.0
MX,Cuernavaca,CKA,2024-11-25 / 2024-12-01,59.0
MX,Manzanillo,CKA,2024-11-25 / 2024-12-01,9.0
MX,Solidaridad,CKA,2024-11-25 / 2024-12-01,4.0
MX,Victoria,CKA,2024-11-25 / 2024-12-01,12.0
MX,Merida,CKA,2024-11-25 / 2024-12-01,50.0
MX,Acapulco,CKA,2024-11-25 / 2024-12-01,3.0
MX,Zacatecas,CKA,2024-11-25 / 2024-12-01,11.0
MX,Saltillo,CKA,2024-11-25 / 2024-12-01,47.0
MX,Tlaxcala,CKA,2024-11-25 / 2024-12-01,3.0
MX,Cordoba,CKA,2024-11-25 / 2024-12-01,9.0
MX,Irapuato,CKA,2024-11-25 / 2024-12-01,7.0
MX,Los Mochis-Guasave,CKA,2024-11-25 / 2024-12-01,22.0
MX,San Cristobal de las Casas,CKA,2024-11-25 / 2024-12-01,2.0
MX,San Juan del Río,CKA,2024-11-25 / 2024-12-01,11.0
MX,Delicias,CKA,2024-11-25 / 2024-12-01,3.0
MX,Durango,CKA,2024-11-25 / 2024-12-01,90.0
MX,Tuxtla Gutierrez,CKA,2024-11-25 / 2024-12-01,14.0
MX,Hermosillo,CKA,2024-11-25 / 2024-12-01,71.0
MX,Chihuahua,CKA,2024-11-25 / 2024-12-01,149.0
MX,Nuevo Laredo,CKA,2024-11-25 / 2024-12-01,4.0
MX,Culiacan,CKA,2024-11-25 / 2024-12-01,126.0
MX,Tlaxcala,SME,2024-11-25 / 2024-12-01,31.0
MX,Queretaro,SME,2024-11-25 / 2024-12-01,150.0
MX,Solidaridad,SME,2024-11-25 / 2024-12-01,16.0
MX,Merida,SME,2024-11-25 / 2024-12-01,84.0
MX,Aguascalientes,SME,2024-11-25 / 2024-12-01,115.0
MX,Delicias,SME,2024-11-25 / 2024-12-01,31.0
MX,Acapulco,SME,2024-11-25 / 2024-12-01,22.0
MX,Colima,SME,2024-11-25 / 2024-12-01,70.0
MX,Cancun,SME,2024-11-25 / 2024-12-01,136.0
MX,Tehuacan,SME,2024-11-25 / 2024-12-01,14.0
MX,Oaxaca,SME,2024-11-25 / 2024-12-01,106.0
MX,Salamanca,SME,2024-11-25 / 2024-12-01,10.0
MX,Mexicali,SME,2024-11-25 / 2024-12-01,237.0
MX,Durango,SME,2024-11-25 / 2024-12-01,188.0
MX,Irapuato,SME,2024-11-25 / 2024-12-01,43.0
MX,Los Cabos,SME,2024-11-25 / 2024-12-01,44.0
MX,Mexico City,SME,2024-11-25 / 2024-12-01,1422.0
