organization_type,country_code,city_name,stat_date(周),Daily Orders,R Burn / GMV,B2C / GMV,TED / GMV,Traffic,Shop Enter UV,B P1*P2,B Cancel Rate,AOP,ASP
Normal,MX,San Juan del Río,2024-12-02 / 2024-12-08,499,19.61%,0.039400000000000000,0.272900000000000000,262043,18888,1.41%,1.47%,272.2946000000000,197.9895000000000
Normal,MX,Monterrey,2024-12-02 / 2024-12-08,8391,18.00%,0.021600000000000000,0.258700000000000000,8579982,553445,0.85%,1.97%,287.2750000000000,212.9606000000000
Normal,MX,Delicias,2024-12-02 / 2024-12-08,439,9.27%,0.004800000000000000,0.139500000000000000,216071,15702,1.50%,1.31%,261.7431000000000,225.2186000000000
Normal,MX,Apizaco,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,La Paz,2024-12-02 / 2024-12-08,1166,11.26%,0.018600000000000000,0.167300000000000000,668733,51157,1.29%,1.16%,282.5530000000000,235.2866000000000
Normal,MX,Comitan de Dominguez,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,Tulancingo,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,Queretaro,2024-12-02 / 2024-12-08,2401,16.29%,0.020400000000000000,0.225100000000000000,1474855,98172,1.21%,1.46%,245.6896000000000,190.3756000000000
Normal,MX,Acapulco,2024-12-02 / 2024-12-08,335,12.32%,0.017000000000000000,0.177800000000000000,222346,16912,1.11%,1.64%,272.0195000000000,223.6544000000000
Normal,MX,Xalapa,2024-12-02 / 2024-12-08,341,16.04%,0.032900000000000000,0.238100000000000000,333562,21157,0.78%,1.70%,248.8285000000000,189.5829000000000
Normal,MX,Culiacan,2024-12-02 / 2024-12-08,1777,17.08%,0.025100000000000000,0.242400000000000000,1361572,89878,1.05%,1.63%,267.0153000000000,202.2939000000000
Normal,CO,Valledupar,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,CO,Medellín,2024-12-02 / 2024-12-08,7528,25.95%,0.055100000000000000,0.397800000000000000,5157369,349622,1.11%,1.02%,48490.2597000000000,29202.8927000000000
