Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Durango,SME,2024-12-09 / 2024-12-15,187.0
MX,Matamoros,SME,2024-12-09 / 2024-12-15,85.0
MX,Solidaridad,SME,2024-12-09 / 2024-12-15,14.0
MX,Acapulco,SME,2024-12-09 / 2024-12-15,26.0
MX,Delicias,SME,2024-12-09 / 2024-12-15,31.0
MX,Puerto Vallarta,SME,2024-12-09 / 2024-12-15,51.0
MX,Guadalajara,SME,2024-12-09 / 2024-12-15,825.0
MX,Campeche,SME,2024-12-09 / 2024-12-15,30.0
MX,Tlaxcala,SME,2024-12-09 / 2024-12-15,33.0
MX,La Paz,SME,2024-12-09 / 2024-12-15,81.0
MX,Mexico City,SME,2024-12-09 / 2024-12-15,1436.0
MX,Tijuana,SME,2024-12-09 / 2024-12-15,191.0
MX,Los Cabos,SME,2024-12-09 / 2024-12-15,55.0
MX,Oaxaca,SME,2024-12-09 / 2024-12-15,109.0
MX,Chihuahua,SME,2024-12-09 / 2024-12-15,118.0
MX,Monterrey,SME,2024-12-09 / 2024-12-15,649.0
MX,Tehuacan,SME,2024-12-09 / 2024-12-15,19.0
MX,Veracruz,SME,2024-12-09 / 2024-12-15,79.0
MX,Chetumal,SME,2024-12-09 / 2024-12-15,12.0
MX,Las Choapas,SME,2024-12-09 / 2024-12-15,6.0
MX,Navojoa,SME,2024-12-09 / 2024-12-15,23.0
MX,Leon,SME,2024-12-09 / 2024-12-15,123.0
MX,Culiacan,SME,2024-12-09 / 2024-12-15,128.0
MX,Tuxtla Gutierrez,SME,2024-12-09 / 2024-12-15,124.0
MX,Saltillo,SME,2024-12-09 / 2024-12-15,72.0
MX,Poza Rica de Hidalgo,SME,2024-12-09 / 2024-12-15,12.0
MX,Nuevo Laredo,SME,2024-12-09 / 2024-12-15,40.0
MX,San Juan del Río,SME,2024-12-09 / 2024-12-15,35.0
MX,Coatzacoalcos,SME,2024-12-09 / 2024-12-15,17.0
MX,Toluca,SME,2024-12-09 / 2024-12-15,122.0
MX,Colima,SME,2024-12-09 / 2024-12-15,77.0
MX,Celaya,SME,2024-12-09 / 2024-12-15,48.0
MX,Aguascalientes,SME,2024-12-09 / 2024-12-15,132.0
MX,Villahermosa,SME,2024-12-09 / 2024-12-15,99.0
MX,Tepic,SME,2024-12-09 / 2024-12-15,122.0
MX,Ensenada,SME,2024-12-09 / 2024-12-15,152.0
MX,Los Mochis-Guasave,SME,2024-12-09 / 2024-12-15,57.0
MX,Torreon,SME,2024-12-09 / 2024-12-15,118.0
MX,Cordoba,SME,2024-12-09 / 2024-12-15,35.0
MX,Mexicali,SME,2024-12-09 / 2024-12-15,267.0
MX,Ciudad Obregon,SME,2024-12-09 / 2024-12-15,80.0
MX,Zacatecas,SME,2024-12-09 / 2024-12-15,37.0
MX,Puebla,SME,2024-12-09 / 2024-12-15,207.0
MX,Jaurez CHIH,SME,2024-12-09 / 2024-12-15,270.0
MX,Tapachula,SME,2024-12-09 / 2024-12-15,21.0
MX,Irapuato,SME,2024-12-09 / 2024-12-15,41.0
MX,Morelia,SME,2024-12-09 / 2024-12-15,138.0
MX,San Luis Potosi,SME,2024-12-09 / 2024-12-15,142.0
MX,Hermosillo,SME,2024-12-09 / 2024-12-15,135.0
MX,Xalapa,SME,2024-12-09 / 2024-12-15,20.0
MX,Cancun,SME,2024-12-09 / 2024-12-15,131.0
MX,Cuernavaca,SME,2024-12-09 / 2024-12-15,128.0
MX,Mazatlan,SME,2024-12-09 / 2024-12-15,67.0
MX,Carmen,SME,2024-12-09 / 2024-12-15,14.0
CO,Bucaramanga,CKA,2024-12-09 / 2024-12-15,11.0
CO,Cartagena,CKA,2024-12-09 / 2024-12-15,7.0
CO,Cali,CKA,2024-12-09 / 2024-12-15,117.0
CO,Barranquilla,CKA,2024-12-09 / 2024-12-15,63.0
CO,"Bogotá, D.C.",CKA,2024-12-09 / 2024-12-15,484.0
CO,Medellín,CKA,2024-12-09 / 2024-12-15,336.0
CO,"Bogotá, D.C.",SME,2024-12-09 / 2024-12-15,452.0
CO,Medellín,SME,2024-12-09 / 2024-12-15,388.0
CO,Cali,SME,2024-12-09 / 2024-12-15,204.0
CO,Bucaramanga,SME,2024-12-09 / 2024-12-15,28.0
CO,Cartagena,SME,2024-12-09 / 2024-12-15,13.0
CO,Barranquilla,SME,2024-12-09 / 2024-12-15,119.0
CO,Cúcuta,SME,2024-12-09 / 2024-12-15,10.0
CR,San Jose,CKA,2024-12-09 / 2024-12-15,117.0
CR,San Jose,SME,2024-12-09 / 2024-12-15,144.0
PE,Lima,CKA,2024-12-09 / 2024-12-15,77.0
PE,Lima,SME,2024-12-09 / 2024-12-15,121.0
MX,Chetumal,CKA,2024-12-02 / 2024-12-08,1.0
MX,Poza Rica de Hidalgo,CKA,2024-12-02 / 2024-12-08,1.0
MX,Acapulco,CKA,2024-12-02 / 2024-12-08,3.0
