Country,city_name,stat_date(周),Daily Orders
CO,Barranquilla,2024-09-02 / 2024-09-08,1931
CO,Cali,2024-09-02 / 2024-09-08,3391
CO,Cartagena,2024-09-02 / 2024-09-08,263
CO,Bucaramanga,2024-09-02 / 2024-09-08,649
CO,Cúcuta,2024-09-02 / 2024-09-08,106
CO,Villavicencio,2024-09-02 / 2024-09-08,0
CO,Manizales,2024-09-02 / 2024-09-08,0
CO,Pereira,2024-09-02 / 2024-09-08,0
CO,Medellín,2024-09-02 / 2024-09-08,6636
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,6820
CR,Limon,2024-09-02 / 2024-09-08,-
CR,Liberia,2024-09-02 / 2024-09-08,-
CR,San Jose,2024-09-02 / 2024-09-08,2260
PE,Arequipa,2024-09-02 / 2024-09-08,-
PE,Trujillo,2024-09-02 / 2024-09-08,-
PE,Lima,2024-09-02 / 2024-09-08,2420
MX,Cordoba,2024-08-26 / 2024-09-01,485
MX,Carmen,2024-08-26 / 2024-09-01,202
MX,Las Choapas,2024-08-26 / 2024-09-01,87
MX,Tulancingo,2024-08-26 / 2024-09-01,-
MX,Chilpancingo de los Bravo,2024-08-26 / 2024-09-01,0
MX,Uruapan,2024-08-26 / 2024-09-01,0
MX,La Piedad,2024-08-26 / 2024-09-01,-
MX,Orizaba,2024-08-26 / 2024-09-01,0
MX,Comitan de Dominguez,2024-08-26 / 2024-09-01,-
MX,Minatitlan,2024-08-26 / 2024-09-01,-
MX,Apizaco,2024-08-26 / 2024-09-01,-
MX,Abejones,2024-08-26 / 2024-09-01,-
MX,Zamora,2024-08-26 / 2024-09-01,-
MX,Tehuacan,2024-08-26 / 2024-09-01,233
MX,San Cristobal de las Casas,2024-08-26 / 2024-09-01,220
MX,Cuernavaca,2024-08-26 / 2024-09-01,1746
MX,Villahermosa,2024-08-26 / 2024-09-01,1607
MX,Tlaxcala,2024-08-26 / 2024-09-01,434
MX,Coatzacoalcos,2024-08-26 / 2024-09-01,229
MX,Morelia,2024-08-26 / 2024-09-01,2217
MX,Oaxaca,2024-08-26 / 2024-09-01,1460
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,2024
MX,Pachuca,2024-08-26 / 2024-09-01,467
MX,Merida,2024-08-26 / 2024-09-01,1374
MX,Xalapa,2024-08-26 / 2024-09-01,306
MX,Campeche,2024-08-26 / 2024-09-01,458
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,148
MX,Veracruz,2024-08-26 / 2024-09-01,1100
MX,Puebla,2024-08-26 / 2024-09-01,3333
MX,Solidaridad,2024-08-26 / 2024-09-01,213
MX,Chetumal,2024-08-26 / 2024-09-01,245
MX,Acapulco,2024-08-26 / 2024-09-01,285
MX,Cancun,2024-08-26 / 2024-09-01,1886
MX,Tapachula,2024-08-26 / 2024-09-01,203
MX,Navojoa,2024-08-26 / 2024-09-01,269
MX,Guaymas,2024-08-26 / 2024-09-01,0
MX,Ciudad Obregon,2024-08-26 / 2024-09-01,1087
MX,Guadalajara,2024-08-26 / 2024-09-01,12638
MX,Ensenada,2024-08-26 / 2024-09-01,2371
MX,Colima,2024-08-26 / 2024-09-01,1104
MX,Tijuana,2024-08-26 / 2024-09-01,3331
MX,La Paz,2024-08-26 / 2024-09-01,1118
MX,Nogales(SON),2024-08-26 / 2024-09-01,0
MX,Los Mochis-Guasave,2024-08-26 / 2024-09-01,881
MX,Mazatlan,2024-08-26 / 2024-09-01,945
MX,Tepic,2024-08-26 / 2024-09-01,1616
MX,Manzanillo,2024-08-26 / 2024-09-01,546
MX,Hermosillo,2024-08-26 / 2024-09-01,1699
MX,Los Cabos,2024-08-26 / 2024-09-01,710
MX,Mexicali,2024-08-26 / 2024-09-01,4522
MX,Puerto Vallarta,2024-08-26 / 2024-09-01,719
MX,Culiacan,2024-08-26 / 2024-09-01,2064
MX,San Miguel de Allende,2024-08-26 / 2024-09-01,0
MX,Valles City,2024-08-26 / 2024-09-01,-
MX,Guanajuato,2024-08-26 / 2024-09-01,-
MX,Piedras Negras,2024-08-26 / 2024-09-01,-
MX,Queretaro,2024-08-26 / 2024-09-01,2137
MX,San Juan del Río,2024-08-26 / 2024-09-01,435
MX,Salamanca,2024-08-26 / 2024-09-01,151
MX,Durango,2024-08-26 / 2024-09-01,2533
MX,Monclova,2024-08-26 / 2024-09-01,0
MX,Tampico,2024-08-26 / 2024-09-01,1479
MX,Zacatecas,2024-08-26 / 2024-09-01,591
MX,Torreon,2024-08-26 / 2024-09-01,1758
MX,Jaurez CHIH,2024-08-26 / 2024-09-01,3592
MX,Chihuahua,2024-08-26 / 2024-09-01,1528
MX,Delicias,2024-08-26 / 2024-09-01,420
MX,Saltillo,2024-08-26 / 2024-09-01,922
MX,Celaya,2024-08-26 / 2024-09-01,658
MX,Aguascalientes,2024-08-26 / 2024-09-01,1406
MX,Victoria,2024-08-26 / 2024-09-01,742
MX,Matamoros,2024-08-26 / 2024-09-01,1347
MX,Irapuato,2024-08-26 / 2024-09-01,502
MX,Leon,2024-08-26 / 2024-09-01,1817
MX,San Luis Potosi,2024-08-26 / 2024-09-01,1996
MX,Nuevo Laredo,2024-08-26 / 2024-09-01,612
MX,Reynosa,2024-08-26 / 2024-09-01,0
MX,Monterrey,2024-08-26 / 2024-09-01,9928
MX,Mexico City,2024-08-26 / 2024-09-01,19474
MX,Toluca,2024-08-26 / 2024-09-01,1825
CO,Ibagué,2024-08-26 / 2024-09-01,0
CO,Valledupar,2024-08-26 / 2024-09-01,0
CO,Santa marta,2024-08-26 / 2024-09-01,0
CO,Cali,2024-08-26 / 2024-09-01,3404
CO,Cartagena,2024-08-26 / 2024-09-01,234
CO,Barranquilla,2024-08-26 / 2024-09-01,1861
CO,Cúcuta,2024-08-26 / 2024-09-01,75
CO,Bucaramanga,2024-08-26 / 2024-09-01,650
CO,Manizales,2024-08-26 / 2024-09-01,0
CO,Villavicencio,2024-08-26 / 2024-09-01,0
CO,Pereira,2024-08-26 / 2024-09-01,0
CO,Medellín,2024-08-26 / 2024-09-01,6553
CO,"Bogotá, D.C.",2024-08-26 / 2024-09-01,6369
CR,Limon,2024-08-26 / 2024-09-01,-
CR,Liberia,2024-08-26 / 2024-09-01,-
CR,San Jose,2024-08-26 / 2024-09-01,2313
PE,Arequipa,2024-08-26 / 2024-09-01,-
PE,Trujillo,2024-08-26 / 2024-09-01,-
PE,Lima,2024-08-26 / 2024-09-01,2516
