Country Code,city_name,Stat Date(周),5 + order store count(week total)
MX,Coatzacoalcos,2024-08-26 / 2024-09-01,17.0
MX,Manzanillo,2024-08-26 / 2024-09-01,33.0
MX,Cancun,2024-08-26 / 2024-09-01,120.0
MX,Puebla,2024-08-26 / 2024-09-01,186.0
MX,Guadalajara,2024-08-26 / 2024-09-01,726.0
MX,Delicias,2024-08-26 / 2024-09-01,28.0
MX,Campeche,2024-08-26 / 2024-09-01,25.0
MX,San Cristobal de las Casas,2024-08-26 / 2024-09-01,13.0
MX,Navojoa,2024-08-26 / 2024-09-01,15.0
MX,Chihuahua,2024-08-26 / 2024-09-01,92.0
MX,Tapachula,2024-08-26 / 2024-09-01,13.0
MX,Tijuana,2024-08-26 / 2024-09-01,207.0
MX,Nuevo Laredo,2024-08-26 / 2024-09-01,38.0
MX,Zacatecas,2024-08-26 / 2024-09-01,33.0
MX,Toluca,2024-08-26 / 2024-09-01,99.0
MX,Solidaridad,2024-08-26 / 2024-09-01,11.0
MX,Colima,2024-08-26 / 2024-09-01,60.0
MX,Aguascalientes,2024-08-26 / 2024-09-01,86.0
MX,Merida,2024-08-26 / 2024-09-01,84.0
MX,Tampico,2024-08-26 / 2024-09-01,89.0
MX,Salamanca,2024-08-26 / 2024-09-01,11.0
MX,Torreon,2024-08-26 / 2024-09-01,113.0
MX,Queretaro,2024-08-26 / 2024-09-01,133.0
MX,Los Cabos,2024-08-26 / 2024-09-01,43.0
MX,Mazatlan,2024-08-26 / 2024-09-01,63.0
MX,Ciudad Obregon,2024-08-26 / 2024-09-01,68.0
MX,Matamoros,2024-08-26 / 2024-09-01,83.0
MX,Tepic,2024-08-26 / 2024-09-01,104.0
MX,Hermosillo,2024-08-26 / 2024-09-01,114.0
MX,Culiacan,2024-08-26 / 2024-09-01,137.0
MX,Mexico City,2024-08-26 / 2024-09-01,1113.0
MX,Chetumal,2024-08-26 / 2024-09-01,19.0
MX,Mexicali,2024-08-26 / 2024-09-01,230.0
MX,Leon,2024-08-26 / 2024-09-01,104.0
MX,Carmen,2024-08-26 / 2024-09-01,12.0
MX,Saltillo,2024-08-26 / 2024-09-01,63.0
MX,Irapuato,2024-08-26 / 2024-09-01,30.0
MX,Ensenada,2024-08-26 / 2024-09-01,135.0
MX,Oaxaca,2024-08-26 / 2024-09-01,99.0
MX,Jaurez CHIH,2024-08-26 / 2024-09-01,233.0
MX,San Luis Potosi,2024-08-26 / 2024-09-01,127.0
MX,Cordoba,2024-08-26 / 2024-09-01,32.0
MX,Tlaxcala,2024-08-26 / 2024-09-01,28.0
MX,Villahermosa,2024-08-26 / 2024-09-01,94.0
MX,Las Choapas,2024-08-26 / 2024-09-01,7.0
MX,Tehuacan,2024-08-26 / 2024-09-01,12.0
MX,La Paz,2024-08-26 / 2024-09-01,73.0
MX,Durango,2024-08-26 / 2024-09-01,168.0
MX,Celaya,2024-08-26 / 2024-09-01,37.0
MX,Los Mochis-Guasave,2024-08-26 / 2024-09-01,58.0
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,95.0
CO,Cúcuta,2024-08-26 / 2024-09-01,5.0
CO,Cartagena,2024-08-26 / 2024-09-01,16.0
CO,Barranquilla,2024-08-26 / 2024-09-01,92.0
CO,Cali,2024-08-26 / 2024-09-01,174.0
CO,Medellín,2024-08-26 / 2024-09-01,336.0
CO,"Bogotá, D.C.",2024-08-26 / 2024-09-01,342.0
CO,Bucaramanga,2024-08-26 / 2024-09-01,30.0
CR,San Jose,2024-08-26 / 2024-09-01,101.0
PE,Lima,2024-08-26 / 2024-09-01,128.0
