Country,city_name,stat_date(周),Daily Traffic,Daily Traffic WoW,Traffic,Traffic WoW,Exposure UV per Eff Online Rs,Shop Enter UV,Shop Enter UV WoW,B P1,B P1 WoW,B P2,B P2 WoW,B P1*P2,B P1*P2 WoW,B Cancel Rate,B Cancel Rate WoW,B Bad Rating Rate,B Bad Rating Rate WoW,Average Rating,Average Position
CO,Cartagena,2024-08-26 / 2024-09-01,87855,4.91%,614984,4.91%,2295,31913,-3.64%,5.19%,-0.46PP,7.45%,0.39PP,0.39%,-0.01PP,3.00%,0.54PP,3.36%,0.62PP,4.64,10.4
CO,Cali,2024-08-26 / 2024-09-01,418772,-2.97%,2931404,-2.97%,567,198596,-4.20%,6.77%,-0.09PP,13.06%,-0.21PP,0.88%,-0.03PP,1.61%,0.16PP,2.82%,0.27PP,4.30,36.7
CO,Bucaramanga,2024-08-26 / 2024-09-01,73341,0.62%,513385,0.62%,602,40374,-0.91%,7.86%,-0.12PP,12.10%,-0.02PP,0.95%,-0.02PP,1.53%,0.21PP,1.96%,-0.10PP,4.51,22.3
CO,Cúcuta,2024-08-26 / 2024-09-01,20252,11.03%,141765,11.03%,650,8485,5.22%,5.99%,-0.33PP,7.94%,-0.84PP,0.48%,-0.08PP,5.30%,1.25PP,2.68%,0.69PP,4.87,8.2
CO,Pereira,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Manizales,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Villavicencio,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Medellín,2024-08-26 / 2024-09-01,712083,-0.67%,4984578,-0.67%,666,350534,-3.52%,7.03%,-0.21PP,14.13%,-0.12PP,0.99%,-0.04PP,1.13%,-0.08PP,2.31%,0.04PP,4.40,50.2
CO,"Bogotá, D.C.",2024-08-26 / 2024-09-01,800158,-5.91%,5601108,-5.91%,428,352946,-6.84%,6.30%,-0.06PP,13.84%,0.37PP,0.87%,0.01PP,1.74%,0.07PP,2.92%,-0.22PP,4.30,43.7
CR,Limon,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CR,Liberia,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CR,San Jose,2024-08-26 / 2024-09-01,311746,14.57%,2182221,14.57%,334,128112,10.31%,5.87%,-0.23PP,13.80%,-0.61PP,0.81%,-0.07PP,1.92%,0.02PP,2.18%,0.27PP,4.31,30.1
PE,Arequipa,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
PE,Trujillo,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
PE,Lima,2024-08-26 / 2024-09-01,340870,9.08%,2386092,9.08%,297,143223,4.42%,6.00%,-0.27PP,13.53%,-0.26PP,0.81%,-0.05PP,1.75%,0.16PP,2.40%,0.07PP,4.15,34.4
