Country,city_name,stat_date(周),Daily Traffic,Daily Traffic WoW,Traffic,Traffic WoW,Exposure UV per Eff Online Rs,Shop Enter UV,Shop Enter UV WoW,B P1,B P1 WoW,B P2,B P2 WoW,B P1*P2,B P1*P2 WoW,B Cancel Rate,B Cancel Rate WoW,B Bad Rating Rate,B Bad Rating Rate WoW,Average Rating,Average Position
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,57959,-9.36%,405710,-9.36%,284,28992,-5.70%,7.15%,0.28PP,18.73%,0.30PP,1.34%,0.07PP,1.71%,-0.06PP,1.79%,-0.14PP,4.32,17.1
MX,Tepic,2024-09-02 / 2024-09-08,148659,-4.53%,1040614,-4.53%,421,67313,-5.50%,6.47%,-0.07PP,16.92%,0.35PP,1.09%,0.01PP,1.67%,0.22PP,1.16%,-0.07PP,4.51,30.1
MX,Guadalajara,2024-09-02 / 2024-09-08,1111974,-4.11%,7783816,-4.11%,400,507074,-2.86%,6.51%,0.08PP,18.15%,0.40PP,1.18%,0.04PP,1.44%,-0.09PP,1.46%,-0.03PP,4.49,44.7
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,100119,-10.10%,700830,-10.10%,540,49022,-5.51%,6.99%,0.34PP,16.60%,0.94PP,1.16%,0.12PP,1.99%,0.08PP,1.19%,-0.10PP,4.35,25.2
MX,Hermosillo,2024-09-02 / 2024-09-08,186872,-3.46%,1308105,-3.46%,402,87472,-1.66%,6.69%,0.12PP,14.62%,0.10PP,0.98%,0.02PP,1.78%,-0.40PP,1.59%,-0.13PP,4.33,26.3
MX,La Paz,2024-09-02 / 2024-09-08,103389,-4.58%,723724,-4.58%,487,48921,-4.54%,6.76%,0.00PP,15.82%,-0.27PP,1.07%,-0.02PP,1.39%,-0.27PP,1.16%,-0.26PP,4.42,19.8
MX,Colima,2024-09-02 / 2024-09-08,98352,-4.17%,688465,-4.17%,564,45825,-3.35%,6.66%,0.06PP,17.25%,0.02PP,1.15%,0.01PP,1.16%,-0.02PP,1.21%,0.17PP,4.53,22.2
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,92273,-5.73%,645908,-5.73%,438,44925,-0.96%,6.96%,0.33PP,14.77%,0.29PP,1.03%,0.07PP,1.47%,-0.53PP,1.32%,-0.08PP,4.43,22.7
MX,Mazatlan,2024-09-02 / 2024-09-08,119262,-5.02%,834837,-5.02%,468,48280,-3.70%,5.78%,0.08PP,14.69%,0.52PP,0.85%,0.04PP,2.09%,0.08PP,0.90%,-0.11PP,4.65,24.6
MX,Tijuana,2024-09-02 / 2024-09-08,325836,9.42%,2280853,9.42%,478,150206,7.97%,6.59%,-0.09PP,17.57%,-0.51PP,1.16%,-0.05PP,2.03%,0.23PP,1.90%,0.42PP,4.29,25.9
MX,Culiacan,2024-09-02 / 2024-09-08,220458,-12.87%,1543204,-12.87%,466,99157,-8.33%,6.43%,0.32PP,15.76%,1.35PP,1.01%,0.13PP,1.43%,-0.41PP,1.48%,-0.16PP,4.22,32.0
MX,San Miguel de Allende,2024-09-02 / 2024-09-08,2,25.00%,15,25.00%,1,0,-100.00%,0.00%,-8.33PP,-,0.00PP,0.00%,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Valles City,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Guanajuato,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Piedras Negras,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Zacatecas,2024-09-02 / 2024-09-08,60740,-2.41%,425183,-2.41%,295,26038,-1.07%,6.12%,0.08PP,18.06%,0.60PP,1.11%,0.05PP,2.44%,-0.21PP,1.45%,-0.07PP,4.47,19.2
MX,San Luis Potosi,2024-09-02 / 2024-09-08,176114,7.23%,1232799,7.23%,368,79947,4.48%,6.48%,-0.17PP,18.18%,-1.19PP,1.18%,-0.11PP,1.74%,0.04PP,1.76%,0.22PP,4.41,22.8
