Country,city_name,stat_date(周),R Burn / GMV,B2C / GMV,P2C / GMV,TED / GMV
CO,"Bogotá, D.C.",2024-09-09 / 2024-09-15,28.49%,4.07%,8.53%,41.09%
CR,Liberia,2024-09-09 / 2024-09-15,-,-,-,-
CR,Limon,2024-09-09 / 2024-09-15,-,-,-,-
CR,San Jose,2024-09-09 / 2024-09-15,18.88%,3.17%,4.63%,26.68%
PE,Arequipa,2024-09-09 / 2024-09-15,-,-,-,-
PE,Trujillo,2024-09-09 / 2024-09-15,-,-,-,-
PE,Lima,2024-09-09 / 2024-09-15,25.66%,5.12%,7.05%,37.83%
MX,Carmen,2024-09-02 / 2024-09-08,15.43%,4.60%,3.98%,24.01%
MX,Cordoba,2024-09-02 / 2024-09-08,11.64%,3.08%,4.09%,18.81%
MX,Las Choapas,2024-09-02 / 2024-09-08,24.09%,7.54%,3.63%,35.26%
MX,Zamora,2024-09-02 / 2024-09-08,-,-,-,-
MX,Apizaco,2024-09-02 / 2024-09-08,-,-,-,-
MX,Chilpancingo de los Bravo,2024-09-02 / 2024-09-08,-,-,-,-
MX,Abejones,2024-09-02 / 2024-09-08,-,-,-,-
MX,La Piedad,2024-09-02 / 2024-09-08,-,-,-,-
MX,Comitan de Dominguez,2024-09-02 / 2024-09-08,-,-,-,-
MX,Uruapan,2024-09-02 / 2024-09-08,-,-,-,-
MX,Tulancingo,2024-09-02 / 2024-09-08,-,-,-,-
MX,Minatitlan,2024-09-02 / 2024-09-08,-,-,-,-
MX,Orizaba,2024-09-02 / 2024-09-08,-,-,-,-
MX,Merida,2024-09-02 / 2024-09-08,15.63%,2.82%,3.19%,21.64%
MX,Oaxaca,2024-09-02 / 2024-09-08,20.43%,3.00%,2.19%,25.61%
MX,Tlaxcala,2024-09-02 / 2024-09-08,17.04%,4.01%,3.44%,24.49%
MX,Cuernavaca,2024-09-02 / 2024-09-08,15.90%,3.28%,2.66%,21.83%
MX,Cancun,2024-09-02 / 2024-09-08,12.50%,2.90%,5.29%,20.69%
MX,Solidaridad,2024-09-02 / 2024-09-08,11.81%,1.14%,5.26%,18.21%
MX,Tehuacan,2024-09-02 / 2024-09-08,18.00%,1.51%,2.75%,22.25%
MX,Veracruz,2024-09-02 / 2024-09-08,14.42%,3.14%,2.97%,20.53%
MX,Chetumal,2024-09-02 / 2024-09-08,11.12%,1.40%,4.77%,17.29%
MX,Villahermosa,2024-09-02 / 2024-09-08,15.33%,2.45%,3.66%,21.44%
MX,Pachuca,2024-09-02 / 2024-09-08,15.85%,3.21%,3.71%,22.77%
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,10.73%,2.81%,4.54%,18.07%
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,16.17%,3.13%,5.30%,24.59%
MX,Morelia,2024-09-02 / 2024-09-08,16.38%,3.18%,4.93%,24.48%
MX,Campeche,2024-09-02 / 2024-09-08,13.83%,4.44%,4.77%,23.04%
MX,Poza Rica de Hidalgo,2024-09-02 / 2024-09-08,14.75%,2.24%,4.11%,21.11%
MX,Acapulco,2024-09-02 / 2024-09-08,13.26%,1.49%,3.37%,18.12%
MX,Puebla,2024-09-02 / 2024-09-08,22.90%,5.33%,2.46%,30.69%
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,20.68%,5.83%,2.94%,29.45%
MX,Xalapa,2024-09-02 / 2024-09-08,16.94%,4.28%,4.29%,25.50%
MX,Tapachula,2024-09-02 / 2024-09-08,13.05%,1.96%,3.85%,18.86%
MX,Navojoa,2024-09-02 / 2024-09-08,12.69%,4.86%,3.98%,21.53%
MX,Guaymas,2024-09-02 / 2024-09-08,-,-,-,-
MX,Colima,2024-09-02 / 2024-09-08,13.23%,3.64%,7.13%,24.00%
MX,Los Cabos,2024-09-02 / 2024-09-08,11.22%,1.74%,5.27%,18.23%
MX,Tijuana,2024-09-02 / 2024-09-08,13.40%,1.85%,3.70%,18.94%
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,16.82%,3.06%,2.84%,22.72%
MX,Mexicali,2024-09-02 / 2024-09-08,14.54%,2.49%,4.15%,21.18%
MX,Tepic,2024-09-02 / 2024-09-08,18.15%,2.65%,3.11%,23.91%
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,12.53%,2.98%,4.54%,20.04%
MX,Ensenada,2024-09-02 / 2024-09-08,12.30%,1.82%,3.36%,17.48%
MX,La Paz,2024-09-02 / 2024-09-08,10.63%,2.15%,3.43%,16.21%
MX,Mazatlan,2024-09-02 / 2024-09-08,11.34%,2.08%,3.19%,16.61%
MX,Nogales(SON),2024-09-02 / 2024-09-08,-,-,-,-
MX,Manzanillo,2024-09-02 / 2024-09-08,11.68%,1.28%,4.19%,17.15%
MX,Guadalajara,2024-09-02 / 2024-09-08,18.83%,3.46%,3.71%,26.00%
MX,Hermosillo,2024-09-02 / 2024-09-08,19.35%,3.82%,1.71%,24.88%
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,19.19%,2.85%,3.80%,25.84%
MX,Culiacan,2024-09-02 / 2024-09-08,17.43%,3.71%,4.69%,25.83%
MX,San Miguel de Allende,2024-09-02 / 2024-09-08,-,-,-,-
MX,Valles City,2024-09-02 / 2024-09-08,-,-,-,-
MX,Guanajuato,2024-09-02 / 2024-09-08,-,-,-,-
MX,Piedras Negras,2024-09-02 / 2024-09-08,-,-,-,-
MX,Queretaro,2024-09-02 / 2024-09-08,16.35%,2.27%,4.44%,23.04%
MX,Chihuahua,2024-09-02 / 2024-09-08,13.38%,1.53%,4.44%,19.34%
MX,Matamoros,2024-09-02 / 2024-09-08,11.07%,2.04%,3.25%,16.37%
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,11.89%,2.21%,5.03%,19.13%
MX,Tampico,2024-09-02 / 2024-09-08,23.69%,4.53%,4.02%,32.22%
MX,Torreon,2024-09-02 / 2024-09-08,12.49%,1.98%,5.36%,19.83%
MX,Monclova,2024-09-02 / 2024-09-08,-,-,-,-
MX,Durango,2024-09-02 / 2024-09-08,14.08%,2.09%,2.71%,18.87%
MX,Irapuato,2024-09-02 / 2024-09-08,11.78%,1.32%,3.07%,16.17%
MX,Delicias,2024-09-02 / 2024-09-08,9.20%,1.10%,3.86%,14.16%
MX,Aguascalientes,2024-09-02 / 2024-09-08,14.35%,2.13%,3.44%,19.92%
MX,Salamanca,2024-09-02 / 2024-09-08,14.78%,2.67%,2.35%,19.80%
MX,Saltillo,2024-09-02 / 2024-09-08,10.94%,2.68%,4.12%,17.73%
MX,Zacatecas,2024-09-02 / 2024-09-08,13.03%,2.30%,2.68%,18.00%
MX,Celaya,2024-09-02 / 2024-09-08,11.56%,2.31%,3.08%,16.95%
MX,Leon,2024-09-02 / 2024-09-08,18.38%,2.62%,4.28%,25.28%
MX,San Luis Potosi,2024-09-02 / 2024-09-08,11.41%,2.00%,3.95%,17.35%
MX,San Juan del Río,2024-09-02 / 2024-09-08,18.38%,3.26%,3.97%,25.60%
MX,Victoria,2024-09-02 / 2024-09-08,16.73%,4.13%,4.77%,25.62%
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,9.81%,0.70%,4.39%,14.90%
MX,Reynosa,2024-09-02 / 2024-09-08,-,-,-,-
MX,Monterrey,2024-09-02 / 2024-09-08,17.08%,2.21%,5.19%,24.49%
MX,Mexico City,2024-09-02 / 2024-09-08,15.18%,3.25%,5.04%,23.46%
MX,Toluca,2024-09-02 / 2024-09-08,16.08%,3.18%,3.02%,22.28%
CO,Ibagué,2024-09-02 / 2024-09-08,-,-,-,-
CO,Santa marta,2024-09-02 / 2024-09-08,-,-,-,-
CO,Valledupar,2024-09-02 / 2024-09-08,-,-,-,-
CO,Cartagena,2024-09-02 / 2024-09-08,16.31%,4.61%,23.43%,44.33%
CO,Barranquilla,2024-09-02 / 2024-09-08,31.62%,3.69%,10.84%,46.15%
CO,Cúcuta,2024-09-02 / 2024-09-08,22.69%,5.85%,16.34%,44.89%
CO,Bucaramanga,2024-09-02 / 2024-09-08,26.17%,4.02%,12.89%,43.08%
CO,Cali,2024-09-02 / 2024-09-08,24.61%,6.48%,10.04%,41.12%
CO,Villavicencio,2024-09-02 / 2024-09-08,-,-,-,-
CO,Pereira,2024-09-02 / 2024-09-08,-,-,-,-
CO,Manizales,2024-09-02 / 2024-09-08,-,-,-,-
CO,Medellín,2024-09-02 / 2024-09-08,25.14%,5.11%,9.86%,40.11%
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,28.35%,3.59%,9.62%,41.55%
CR,Liberia,2024-09-02 / 2024-09-08,-,-,-,-
CR,Limon,2024-09-02 / 2024-09-08,-,-,-,-
CR,San Jose,2024-09-02 / 2024-09-08,18.57%,3.10%,4.80%,26.47%
PE,Arequipa,2024-09-02 / 2024-09-08,-,-,-,-
PE,Trujillo,2024-09-02 / 2024-09-08,-,-,-,-
PE,Lima,2024-09-02 / 2024-09-08,25.66%,4.98%,6.90%,37.55%
MX,Carmen,2024-08-26 / 2024-09-01,16.16%,3.74%,4.63%,24.53%
MX,Cordoba,2024-08-26 / 2024-09-01,11.76%,4.22%,4.46%,20.44%
MX,Las Choapas,2024-08-26 / 2024-09-01,22.59%,7.38%,4.24%,34.21%
MX,Abejones,2024-08-26 / 2024-09-01,-,-,-,-
MX,Apizaco,2024-08-26 / 2024-09-01,-,-,-,-
MX,Chilpancingo de los Bravo,2024-08-26 / 2024-09-01,-,-,-,-
MX,Comitan de Dominguez,2024-08-26 / 2024-09-01,-,-,-,-
MX,La Piedad,2024-08-26 / 2024-09-01,-,-,-,-
MX,Orizaba,2024-08-26 / 2024-09-01,-,-,-,-
MX,Zamora,2024-08-26 / 2024-09-01,-,-,-,-
MX,Tulancingo,2024-08-26 / 2024-09-01,-,-,-,-
MX,Minatitlan,2024-08-26 / 2024-09-01,-,-,-,-
MX,Uruapan,2024-08-26 / 2024-09-01,-,-,-,-
MX,Campeche,2024-08-26 / 2024-09-01,14.25%,4.28%,4.90%,23.43%
MX,San Cristobal de las Casas,2024-08-26 / 2024-09-01,9.91%,3.97%,4.96%,18.85%
MX,Solidaridad,2024-08-26 / 2024-09-01,10.86%,2.11%,5.58%,18.55%
MX,Chetumal,2024-08-26 / 2024-09-01,12.11%,2.45%,4.88%,19.44%
MX,Tehuacan,2024-08-26 / 2024-09-01,18.29%,2.15%,3.29%,23.73%
MX,Morelia,2024-08-26 / 2024-09-01,16.94%,3.85%,5.18%,25.96%
MX,Tapachula,2024-08-26 / 2024-09-01,12.07%,2.92%,3.77%,18.77%
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,16.50%,3.70%,5.56%,25.76%
MX,Veracruz,2024-08-26 / 2024-09-01,14.36%,3.33%,2.98%,20.67%
