Country,city_name,Date(周),AOP,ASP,Avg Delivery Fee
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,237,195,29.24
MX,Morelia,2024-09-02 / 2024-09-08,219,165,31.17
MX,Puebla,2024-09-02 / 2024-09-08,236,163,22.74
MX,Cancun,2024-09-02 / 2024-09-08,274,218,36.21
MX,Xalapa,2024-09-02 / 2024-09-08,247,184,29.94
MX,Villahermosa,2024-09-02 / 2024-09-08,251,197,27.55
MX,Merida,2024-09-02 / 2024-09-08,232,182,25.51
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,299,211,27.96
MX,Tlaxcala,2024-09-02 / 2024-09-08,256,193,28.37
MX,Solidaridad,2024-09-02 / 2024-09-08,300,246,38.39
MX,Acapulco,2024-09-02 / 2024-09-08,257,210,27.87
MX,Navojoa,2024-09-02 / 2024-09-08,232,182,30.00
MX,Guaymas,2024-09-02 / 2024-09-08,-,-,-
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,250,185,30.03
MX,Hermosillo,2024-09-02 / 2024-09-08,264,198,20.90
MX,Mazatlan,2024-09-02 / 2024-09-08,259,216,29.12
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,275,213,27.42
MX,Colima,2024-09-02 / 2024-09-08,234,178,38.22
MX,Mexicali,2024-09-02 / 2024-09-08,277,219,34.05
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,238,191,32.02
MX,Guadalajara,2024-09-02 / 2024-09-08,234,173,26.71
MX,Ensenada,2024-09-02 / 2024-09-08,259,213,32.77
MX,Nogales(SON),2024-09-02 / 2024-09-08,-,-,-
MX,Los Cabos,2024-09-02 / 2024-09-08,320,262,44.94
MX,Tepic,2024-09-02 / 2024-09-08,242,184,25.31
MX,La Paz,2024-09-02 / 2024-09-08,273,229,28.79
MX,Manzanillo,2024-09-02 / 2024-09-08,282,234,36.24
MX,Tijuana,2024-09-02 / 2024-09-08,276,224,34.64
MX,Culiacan,2024-09-02 / 2024-09-08,266,197,34.43
MX,San Miguel de Allende,2024-09-02 / 2024-09-08,-,-,-
MX,Guanajuato,2024-09-02 / 2024-09-08,-,-,-
MX,Valles City,2024-09-02 / 2024-09-08,-,-,-
MX,Piedras Negras,2024-09-02 / 2024-09-08,-,-,-
MX,Aguascalientes,2024-09-02 / 2024-09-08,225,180,30.75
MX,Zacatecas,2024-09-02 / 2024-09-08,237,194,26.08
MX,Torreon,2024-09-02 / 2024-09-08,233,187,35.39
MX,Victoria,2024-09-02 / 2024-09-08,270,201,36.80
MX,Delicias,2024-09-02 / 2024-09-08,250,215,32.41
MX,Salamanca,2024-09-02 / 2024-09-08,235,188,20.26
MX,Saltillo,2024-09-02 / 2024-09-08,269,221,32.71
MX,Tampico,2024-09-02 / 2024-09-08,255,173,30.53
MX,San Juan del Río,2024-09-02 / 2024-09-08,260,193,33.08
MX,Celaya,2024-09-02 / 2024-09-08,232,193,26.60
MX,Matamoros,2024-09-02 / 2024-09-08,232,194,23.95
MX,Queretaro,2024-09-02 / 2024-09-08,238,183,33.69
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,287,244,36.85
MX,Monclova,2024-09-02 / 2024-09-08,-,-,-
MX,San Luis Potosi,2024-09-02 / 2024-09-08,218,180,27.69
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,283,229,41.75
MX,Irapuato,2024-09-02 / 2024-09-08,236,198,27.32
MX,Chihuahua,2024-09-02 / 2024-09-08,262,211,36.89
MX,Durango,2024-09-02 / 2024-09-08,227,184,23.80
MX,Leon,2024-09-02 / 2024-09-08,235,176,32.37
MX,Reynosa,2024-09-02 / 2024-09-08,-,-,-
MX,Monterrey,2024-09-02 / 2024-09-08,270,204,36.24
MX,Mexico City,2024-09-02 / 2024-09-08,249,191,29.48
MX,Toluca,2024-09-02 / 2024-09-08,241,187,24.24
CO,Valledupar,2024-09-02 / 2024-09-08,-,-,-
CO,Santa marta,2024-09-02 / 2024-09-08,-,-,-
CO,Ibagué,2024-09-02 / 2024-09-08,-,-,-
CO,Barranquilla,2024-09-02 / 2024-09-08,42012,22622,5023.26
CO,Bucaramanga,2024-09-02 / 2024-09-08,38264,21780,4764.95
CO,Cúcuta,2024-09-02 / 2024-09-08,36656,20202,4441.41
CO,Cartagena,2024-09-02 / 2024-09-08,36672,20415,5883.92
CO,Cali,2024-09-02 / 2024-09-08,41702,24552,5157.67
CO,Manizales,2024-09-02 / 2024-09-08,-,-,-
CO,Villavicencio,2024-09-02 / 2024-09-08,-,-,-
CO,Pereira,2024-09-02 / 2024-09-08,-,-,-
CO,Medellín,2024-09-02 / 2024-09-08,44800,26832,5773.54
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,47220,27598,5857.37
CR,Liberia,2024-09-02 / 2024-09-08,-,-,-
CR,Limon,2024-09-02 / 2024-09-08,-,-,-
CR,San Jose,2024-09-02 / 2024-09-08,8227,6049,1199.37
PE,Arequipa,2024-09-02 / 2024-09-08,-,-,-
PE,Trujillo,2024-09-02 / 2024-09-08,-,-,-
PE,Lima,2024-09-02 / 2024-09-08,41,25,4.44
MX,Carmen,2024-08-26 / 2024-09-01,246,185,26.96
MX,Las Choapas,2024-08-26 / 2024-09-01,276,182,29.68
MX,Cordoba,2024-08-26 / 2024-09-01,236,188,26.52
MX,Abejones,2024-08-26 / 2024-09-01,-,-,-
MX,Uruapan,2024-08-26 / 2024-09-01,-,-,-
MX,Apizaco,2024-08-26 / 2024-09-01,-,-,-
MX,Tulancingo,2024-08-26 / 2024-09-01,-,-,-
MX,La Piedad,2024-08-26 / 2024-09-01,-,-,-
MX,Orizaba,2024-08-26 / 2024-09-01,-,-,-
MX,Zamora,2024-08-26 / 2024-09-01,-,-,-
MX,Chilpancingo de los Bravo,2024-08-26 / 2024-09-01,-,-,-
MX,Minatitlan,2024-08-26 / 2024-09-01,-,-,-
MX,Comitan de Dominguez,2024-08-26 / 2024-09-01,-,-,-
MX,Tlaxcala,2024-08-26 / 2024-09-01,264,194,28.97
MX,Pachuca,2024-08-26 / 2024-09-01,236,178,27.16
MX,Villahermosa,2024-08-26 / 2024-09-01,255,194,27.39
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,231,179,26.22
MX,Morelia,2024-08-26 / 2024-09-01,224,166,31.43
MX,Puebla,2024-08-26 / 2024-09-01,240,165,23.57
MX,Cuernavaca,2024-08-26 / 2024-09-01,227,173,19.65
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,234,174,30.38
MX,Chetumal,2024-08-26 / 2024-09-01,216,174,25.96
MX,Veracruz,2024-08-26 / 2024-09-01,227,180,23.83
MX,Xalapa,2024-08-26 / 2024-09-01,241,178,29.44
